Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
10/09/2022 1:48;Lost.S?L;1,44368E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @ItsTheGreeks: Raffles in $GREEK are coming!

Already got @JellyeSportsNFT @GothicDegens @ScalpEmpireNFT @Astrals_NFT @FunGuyzNFT @Sumpt…";;;57;1,56839E+18
10/09/2022 1:46;Davelewis7;1,48581E+18;melonastrals;1,45397E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@melonastrals @RBL434 @Astrals_NFT You forgot a couple digits in front of that 30 ser.  ??;;;0;1,56839E+18
10/09/2022 1:46;Best Buds | WAGG?;1,45759E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @Astrals_NFT: Gm. Our arcade wall needs restocking. Looking for undervalued projects less than 3 SOL apiece ?

What would you like to se…";;;94;1,56839E+18
10/09/2022 1:45;The Wangman????;1,45775E+18;Astrals_NFT;1,47703E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@Astrals_NFT @ShreddedApes Ohhhh shit!  Dangit!   I was eyeing that one on the arcade wall....  Must... Play.... More....;;;0;1,56839E+18
10/09/2022 1:44;The Wangman????;1,45775E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @Astrals_NFT: Congrats to the winner ? 

Looks like @ShreddedApes may be getting a new member soon! 12 more opportunities to join their…";;;10;1,56838E+18
10/09/2022 1:44;? ??George Walker? ??;2600826391;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"RT @Astrals_NFT: Congrats to the winner ? 

Looks like @ShreddedApes may be getting a new member soon! 12 more opportunities to join their…";;;10;1,56838E+18
10/09/2022 1:43;SOLphisticated?;1,12258E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @Astrals_NFT: Congrats to the winner ? 

Looks like @ShreddedApes may be getting a new member soon! 12 more opportunities to join their…";;;10;1,56838E+18
10/09/2022 1:37;Astrals Sales Bot;1,47372E+18;;-1;en;<a href='https://example.com' rel='nofollow'>Callisto </a>;"? Shredded Apes Gym Club #4312

? WON via The Astrapon

? @Astrals_NFT

? Take a spin: https://t.co/lElkAp77N9 https://t.co/X21IxJCBFz";;;1;1,56838E+18
10/09/2022 1:36;tug?{RIP};1,38195E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @RBL434: ONLY 223 @Astrals_NFT Listed on 10 000
93.72% Staked Earning $GLXY
Floor Price 7.5 Sol
??? https://t.co/ukmzLeEFKq";;;6;1,56838E+18
10/09/2022 1:35;?Hirohachi (????,?);1,14681E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @RBL434: ONLY 223 @Astrals_NFT Listed on 10 000
93.72% Staked Earning $GLXY
Floor Price 7.5 Sol
??? https://t.co/ukmzLeEFKq";;;6;1,56838E+18
