Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
09/09/2022 21:00;Discover Curated NFT Galleries;1,40529E+18;;-1;en;<a href='https://wiscle.com' rel='nofollow'>Wiscle Connect</a>;"The Vermont family loves its coven of two

gallery(26): https://t.co/eL2Udpf5ZC
artists and collectors: @aletheia_eth, @nyx_eth, @xuannu_eth, @aradia_eth, @keridwen_eth, @crypto_coven, @pvermont
curator: @pvermont https://t.co/U1S48hucfK";;;0;1,56831E+18
09/09/2022 17:33;adrianna;1,22364E+18;RoyalTopknot;1,48644E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@RoyalTopknot @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi there! Omg, obsessed with your pfp, the 3D glasses are amazing ??;;;0;1,56826E+18
09/09/2022 17:32;adrianna;1,22364E+18;KanwalZ2;1,47802E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@KanwalZ2 @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi hi! Your banner is awesome ? Love to see the overlap and a fellow @worldofwomennft holder! ;;;0;1,56826E+18
09/09/2022 17:31;adrianna;1,22364E+18;whimyel;349438126;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@whimyel @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi hi! Absolutely loving your @crypto_coven pfp ??;;;0;1,56826E+18
09/09/2022 17:31;adrianna;1,22364E+18;BroqLee;8,38659E+17;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@BroqLee @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi hi! So great to meet you! Beautiful pfp ????;;;0;1,56826E+18
09/09/2022 17:31;adrianna;1,22364E+18;AleenaVero;3019601793;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@AleenaVero @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi! Loving your profile pic, wow ? ???;;;0;1,56826E+18
09/09/2022 17:30;adrianna;1,22364E+18;Cbright131;1,44376E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@Cbright131 @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi hi! ? Which communities are you a part of? ??;;;0;1,56826E+18
09/09/2022 17:30;adrianna;1,22364E+18;CrasherJessie;126403636;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@CrasherJessie @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi Jess! Which communities are you a part of? ???;;;0;1,56826E+18
09/09/2022 17:30;adrianna;1,22364E+18;pieter5583;1,44896E+18;ca;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@pieter5583 @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi hi! ???;;;0;1,56826E+18
09/09/2022 14:48;Weird Wilds Detective Agency;1,48146E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @crypto_coven: the second ARTIFACT of THE NARRATOR'S HUT:

AVISA'S PEARL ??

a prophecy pearl spat from the mouth of the great SEER AVIS…";;;8;1,56822E+18
