"Created-At";"From-User";"From-User-Id";"To-User";"To-User-Id";"Language";"Source";"Text";"Geo-Location-Latitude";"Geo-Location-Longitude";"Retweet-Count";"Id"
2022-09-10 01:58:43;"DinkyWinky (?,?,??-?)";"1449323650256080899";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @willmaxwellx: Non Fungible Frens! #WGMI

Super fun connecting with HK ??@cryptopunksnfts @proof_xyz & @moonbirds ! ?? 

@ArtKaroon9 @No…";;;11;"1568388463627476992"
2022-09-10 01:58:40;"DinkyWinky (?,?,??-?)";"1449323650256080899";"willmaxwellx";"1414246063809064960";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@willmaxwellx @cryptopunksnfts @proof_xyz @moonbirds @ArtKaroon9 @NonFungibleJuni @dapppunk @robi_air @Punk3395 @shadow_web3 @KingKitega @jerome_wong99 @GirlNFTFunds @fomofendi @johnnft1077 @itsniknagarkar Wow amazing ? 

So many old friends and hope new too ?";;;0;"1568388448808992770"
2022-09-10 01:57:03;"PirateEd";"2923754949";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @cryptopunksnfts: We’re excited to announce that the first-ever Punks Grant will be awarded to the dynamic duo of @lorepunkdoteth and @r…";;;60;"1568388044625186816"
2022-09-10 01:56:01;"Balagoldster";"1390036035644530688";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @yugalabs: We’re excited to announce the first @cryptopunksNFTs grant to support the creation and maintenance of a Punks-centric newslet…";;;267;"1568387784821600257"
2022-09-10 01:55:06;"gcahgo";"957502099910111232";"cryptopunksnfts";"62418232";"und";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@cryptopunksnfts @lorepunkdoteth @ricgalbraith ?";;;0;"1568387551228227584"
2022-09-10 01:54:59;"TheNorwegian.eth ?";"1424776201411997706";"yugalabs";"1357749263632109570";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@yugalabs @cryptopunksnfts @ricgalbraith @lorepunkdoteth Congrats and well done!";;;0;"1568387524887732224"
2022-09-10 01:54:43;"J?r?miah All?n W?lch ??";"38770165";"cryptopunksnfts";"62418232";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@cryptopunksnfts @GordonGoner @lorepunkdoteth @ricgalbraith Amazing! Congrats @lorepunkdoteth ???";;;0;"1568387457149972480"
2022-09-10 01:53:32;"Kamil | texashedge.eth";"162541044";"ricgalbraith";"1085141";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@ricgalbraith @cryptopunksnfts @lorepunkdoteth Amazing news. Can’t think of a better pair of punks for the job!";;;0;"1568387158955679747"
2022-09-10 01:53:23;"flav.eth ?? LaSs0 ?????";"1189950262510833664";"Othersidegangs";"1480562892898324480";"und";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@Othersidegangs @yugalabs @cryptopunksnfts @ricgalbraith @lorepunkdoteth ? https://t.co/wNwkZ6Fluu";;;0;"1568387118988234753"
2022-09-10 01:53:18;"Josh Ong";"27553316";"yugalabs";"1357749263632109570";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@yugalabs @FFVV1211 @cryptopunksnfts @ricgalbraith @lorepunkdoteth Congrats @ricgalbraith and @lorepunkdoteth! Well deserved.";;;0;"1568387101749641221"
2022-09-10 01:52:13;"SamSage.eth ???";"473357376";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @yugalabs: We’re excited to announce the first @cryptopunksNFTs grant to support the creation and maintenance of a Punks-centric newslet…";;;267;"1568386828704808967"
