Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
09/09/2022 23:18;30rack.eth;1,08431E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @brtmoments: A wonderful evening of Wirwar in Venice Beach @Unordered__list https://t.co/LQfit8xdIe;;;5;1,56835E+18
09/09/2022 23:04;seth goldstein;3520;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @brtmoments: A wonderful evening of Wirwar in Venice Beach @Unordered__list https://t.co/LQfit8xdIe;;;5;1,56834E+18
09/09/2022 23:02;kristi coronado;1,37125E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @brtmoments: A wonderful evening of Wirwar in Venice Beach @Unordered__list https://t.co/LQfit8xdIe;;;5;1,56834E+18
09/09/2022 22:54;DipDip ??;9,57269E+17;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @brtmoments: A wonderful evening of Wirwar in Venice Beach @Unordered__list https://t.co/LQfit8xdIe;;;5;1,56834E+18
09/09/2022 22:54;Bright Moments;1,37378E+18;;-1;en;<a href='https://typefully.com/' rel='nofollow'>Typefully</a>;A wonderful evening of Wirwar in Venice Beach @Unordered__list https://t.co/LQfit8xdIe;;;5;1,56834E+18
09/09/2022 3:17;Bright Moments;1,37378E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @KristiCoronado1: the beauty & randomness of generative art. Love this piece so much! @Unordered__list https://t.co/XeLfMwQyUq;;;3;1,56805E+18
09/09/2022 1:55;?DEATH?BURKA?NFT?GOD?;247547872;brtmoments;1,37378E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@brtmoments @Unordered__list ? I missed this tweet!!! Deng it;;;0;1,56803E+18
09/09/2022 1:31;philm.eth;7,9935E+17;KristiCoronado1;1,37125E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@KristiCoronado1 @Unordered__list Grail ?;;;0;1,56802E+18
09/09/2022 1:17;30rack.eth;1,08431E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @karatekid_xyz: The Pop Art palette really pops! 'Wirwar' #35. ?@Unordered__list @brtmoments ? https://t.co/t8YWD17kEb;;;2;1,56802E+18
09/09/2022 1:02;Nodustucodezefe;1,55942E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;NICE! @eightyscott @PolypunkDogNFT @johndarsie @SlotheCapital @SparkChain @A_Tomaino @clixalink @_demidad @Kamil88284048 @Abhin33t @LuckyFooDogs @Unordered__list @RyanCrucible https://t.co/1tcJWPU5SZ;;;0;1,56801E+18
09/09/2022 0:32;seth goldstein;3520;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @KristiCoronado1: the beauty & randomness of generative art. Love this piece so much! @Unordered__list https://t.co/XeLfMwQyUq;;;3;1,568E+18
09/09/2022 0:31;Bart Simons;1,46394E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @KristiCoronado1: the beauty & randomness of generative art. Love this piece so much! @Unordered__list https://t.co/XeLfMwQyUq;;;3;1,568E+18
09/09/2022 0:20;Stefany;1,43994E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @myster_EEEE: @karatekid_xyz @Unordered__list @brtmoments nice!! was happy to add this one https://t.co/RGIA3rHUtW;;;2;1,568E+18
09/09/2022 0:10;Bright Moments;1,37378E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @myster_EEEE: @karatekid_xyz @Unordered__list @brtmoments nice!! was happy to add this one https://t.co/RGIA3rHUtW;;;2;1,568E+18
08/09/2022 23:59;Myster ? E;1,02006E+18;karatekid_xyz;1,44395E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@karatekid_xyz @Unordered__list @brtmoments pairs well with ‘the avenue’ pallette on @thomasp85 Screens (not mine unfortunately) may have to try and pick one up, lol https://t.co/nyLjatqe8F;;;0;1,568E+18
08/09/2022 23:46;karatekid;1,44395E+18;myster_EEEE;1,02006E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@myster_EEEE @Unordered__list @brtmoments Classy one.;;;0;1,56799E+18
08/09/2022 23:39;Myster ? E;1,02006E+18;karatekid_xyz;1,44395E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@karatekid_xyz @Unordered__list @brtmoments nice!! was happy to add this one https://t.co/RGIA3rHUtW;;;2;1,56799E+18
08/09/2022 23:16;Bright Moments;1,37378E+18;;-1;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @IrinaLiakh: @karatekid_xyz @Unordered__list @brtmoments ???? https://t.co/ezufG86VJ2;;;1;1,56799E+18
08/09/2022 23:16;Bright Moments;1,37378E+18;;-1;de;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @Lapitanlagao: @IrinaLiakh @Unordered__list @brtmoments Wirwar #17. ?? https://t.co/3hiDmFFxM9;;;1;1,56799E+18
08/09/2022 23:16;Avipkr;1,3183E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;Wirwar #92 by @Unordered__list https://t.co/467Vphb81n;;;0;1,56799E+18
08/09/2022 23:16;Bright Moments;1,37378E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @karatekid_xyz: The Pop Art palette really pops! 'Wirwar' #35. ?@Unordered__list @brtmoments ? https://t.co/t8YWD17kEb;;;2;1,56799E+18
08/09/2022 22:34;kristi coronado;1,37125E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;the beauty & randomness of generative art. Love this piece so much! @Unordered__list https://t.co/XeLfMwQyUq;;;3;1,56797E+18
08/09/2022 20:30;SubwaySean.eth?;1,55755E+18;YVR_Trader;1645508869;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@YVR_Trader @Unordered__list Love this. Missed mint last night in LA;;;0;1,56794E+18
08/09/2022 19:48;karatekid;1,44395E+18;KristiCoronado1;1,37125E+18;und;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@KristiCoronado1 @Unordered__list @brtmoments ??;;;0;1,56793E+18
08/09/2022 19:48;karatekid;1,44395E+18;IrinaLiakh;95308183;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@IrinaLiakh @Unordered__list @brtmoments Like it!;;;0;1,56793E+18
08/09/2022 19:30;kristi coronado;1,37125E+18;karatekid_xyz;1,44395E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@karatekid_xyz @Unordered__list @brtmoments Beautiful!;;;0;1,56793E+18
08/09/2022 19:25;irina liakh ??;95308183;karatekid_xyz;1,44395E+18;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@karatekid_xyz @Unordered__list @brtmoments ???? https://t.co/ezufG86VJ2;;;1;1,56793E+18
08/09/2022 19:23;karatekid;1,44395E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;The Pop Art palette really pops! 'Wirwar' #35. ?@Unordered__list @brtmoments ? https://t.co/t8YWD17kEb;;;2;1,56793E+18
08/09/2022 18:52;alou;185791810;IrinaLiakh;95308183;de;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@IrinaLiakh @Unordered__list @brtmoments Wirwar #17. ?? https://t.co/3hiDmFFxM9;;;1;1,56792E+18
08/09/2022 18:28;philm.eth;7,9935E+17;Unordered__list;1,46394E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"@Unordered__list @brtmoments It was awesome to work with you ?

Let’s do it again soon!";;;0;1,56791E+18
08/09/2022 18:17;Bart Simons;1,46394E+18;;-1;de;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @IrinaLiakh: Wirwar #16 ??? @Unordered__list @brtmoments https://t.co/Bsg3L821GA;;;2;1,56791E+18
