Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
10/09/2022 0:34;Guava;1,0469E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rafagrassetti: @BT_BlackThunder devil is in the details ?;;;6;1,56837E+18
09/09/2022 23:58;Steven Westwood;7,287E+17;rafagrassetti;47401172;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@rafagrassetti @Sony This is going to be better than good it's game of the year for deffo but if theyve screwed it up I will play xbox for a year as punishment I'll have to play all the indie games cause they ain't put out any new stuff;;;0;1,56836E+18
09/09/2022 23:57;GiLo;249705067;GodofWar_ES;3305911588;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@GodofWar_ES @SonySantaMonica @rafagrassetti @brunovelazquez @PlayStationES @AzcarragaDe @RaymonDeArana @AIProspekt @BlueOwlzMedic @IridiumGameDev ?;;;0;1,56836E+18
09/09/2022 23:56;Arilton;3534941482;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @rafagrassetti: LOTR just keeps getting better, it’s crazy to think about how much went into making this, such a high quality production…;;;26;1,56836E+18
09/09/2022 23:49;??????;1491075452;;-1;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @KaptainKuba: @rafagrassetti @SonySantaMonica @Art_of_Oakley https://t.co/oZeTrXcS6m;;;2;1,56836E+18
09/09/2022 23:49;??????;1491075452;;-1;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @rafagrassetti: at @SonySantaMonica ? ? #GodOfWarRagnarok https://t.co/G2gHlQzv6t;;;246;1,56836E+18
09/09/2022 23:36;SteddiFLo;390086117;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rafagrassetti: @BT_BlackThunder devil is in the details ?;;;6;1,56835E+18
09/09/2022 23:31;????? ???????;22590816;rafagrassetti;47401172;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@rafagrassetti They are doing such a good job of calling back to the Jackson films while still keeping their own style. It's a remarkable tight-rope act and they're actually pulling it off. Very cool to see.;;;0;1,56835E+18
09/09/2022 23:31;Heitor Santos;9,5993E+17;Souls133;3015763301;pt;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@Souls133 @etmaluco2022 @rafagrassetti @Sony Eu duvido que isso aconteça pq devem ficar até enjoados de tanto ver o jogo no dia a dia  e saber de tudo de cabo a rabo;;;0;1,56835E+18
09/09/2022 23:22;Tony Storm;8,64175E+17;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @rafagrassetti: @Sony and counting... this is going to be good!;;;11;1,56835E+18
09/09/2022 23:09;Wellington;1,53935E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rafagrassetti: @Sony and counting... this is going to be good!;;;11;1,56835E+18
09/09/2022 21:44;Anderson Aguiar (30/iludido ) #fec;3015763301;etmaluco2022;1,3803E+18;pt;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@etmaluco2022 @rafagrassetti @Sony mas a visão ai é de programação, eu to falando no sentido consumidor mesmo, queria saber se eles consegue desfrutar da propria criação deles de forma mais relax ao inves de ser so trabalho trabalho;;;0;1,56832E+18
09/09/2022 21:38;Cansado;1,3803E+18;Souls133;3015763301;pt;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@Souls133 @rafagrassetti @Sony eles zeram o jogo um milhão de vezes né, tem que tirar bug etc;;;0;1,56832E+18
09/09/2022 21:38;Gustavo MJ4EVER?;1,11393E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rafagrassetti: @Sony and counting... this is going to be good!;;;11;1,56832E+18
09/09/2022 21:31;$!n@;1,30634E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @rafagrassetti: @Sony and counting... this is going to be good!;;;11;1,56832E+18
09/09/2022 21:31;Mark;3544790597;GodofWar_ES;3305911588;pt;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@GodofWar_ES @SonySantaMonica @rafagrassetti @brunovelazquez @PlayStationES @AzcarragaDe @RaymonDeArana @AIProspekt @BlueOwlzMedic @IridiumGameDev Como lo vais a gosar! Que envidia me dais?;;;0;1,56832E+18
09/09/2022 21:28;Xavier Serrano;2154583205;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @BT_BlackThunder: @rafagrassetti ??? looking forward to more of this.;;;1;1,56832E+18
09/09/2022 21:28;Xavier Serrano;2154583205;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rafagrassetti: @BT_BlackThunder devil is in the details ?;;;6;1,56832E+18
09/09/2022 21:26;SeanElliottOC.eth??;134261982;rafagrassetti;47401172;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@rafagrassetti @Sony So excited!! ?;;;0;1,56832E+18
09/09/2022 21:24;Muscle_Nerd;9,71653E+17;rafagrassetti;47401172;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"@rafagrassetti @Sony Nope.
Not good.
Legendary. ??";;;0;1,56832E+18
09/09/2022 21:23;UrAveragePlayer;1,38287E+18;Sony;34442404;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@Sony @rafagrassetti Its one of the biggest story games of all time. The marketing needs to better than 30sec clips every week;;;0;1,56832E+18
09/09/2022 21:21;Radagon;930541592;rafagrassetti;47401172;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@rafagrassetti @Sony Thank god someone acknowledged it;;;0;1,56832E+18
09/09/2022 21:20;Anderson Aguiar (30/iludido ) #fec;3015763301;rafagrassetti;47401172;pt;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@rafagrassetti @Sony uma curiosidade rafa, quando o jogo ta pronto, vcs tem autorização pra jogar por um tempo ?, tipo pra pra apreciar sua propria criação e tals;;;0;1,56832E+18
09/09/2022 21:19;Moeqawama (@TBCcast);1,17196E+18;rafagrassetti;47401172;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@rafagrassetti @Sony https://t.co/vaJm7zVlbC;;;0;1,56832E+18
09/09/2022 21:19;Imposter Cosplay;1,37653E+18;Sony;34442404;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@Sony @rafagrassetti Awesome;;;0;1,56832E+18
09/09/2022 20:56;Jan Jinda;501236099;rafagrassetti;47401172;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@rafagrassetti So I cannot buy grapes and peaches from you? What a shame ?;;;0;1,56831E+18
09/09/2022 20:44;DrGamersx?;1,47843E+18;EBC_98YT;1,26176E+18;es;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@EBC_98YT @GodofWar_ES @SonySantaMonica @rafagrassetti @brunovelazquez @PlayStationES @AzcarragaDe @RaymonDeArana @AIProspekt @BlueOwlzMedic @IridiumGameDev A 2 meses del juego que aprovechara el PS5 y esperemos no le pase ninguna tragedia a nuestro grieg;;;0;1,56831E+18
09/09/2022 20:42;Sarah Whitaker;1,26176E+18;GodofWar_ES;3305911588;es;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@GodofWar_ES @SonySantaMonica @rafagrassetti @brunovelazquez @PlayStationES @AzcarragaDe @RaymonDeArana @AIProspekt @BlueOwlzMedic @IridiumGameDev Cada vez queda menos para el gran día ??;;;0;1,56831E+18
09/09/2022 20:40;Lee Hoxley ~ ??;8,55541E+17;;-1;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rafagrassetti: at @SonySantaMonica ? ? #GodOfWarRagnarok https://t.co/G2gHlQzv6t;;;246;1,56831E+18
09/09/2022 20:34;Gio Nakpil;2628816832;rafagrassetti;47401172;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@rafagrassetti Lol Dan would be Damien’s Multiverse self;;;0;1,56831E+18
09/09/2022 20:34;theYiyox;243693608;rafagrassetti;47401172;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@rafagrassetti Yeah... I got this one. At least the account has been removed. https://t.co/hmud5DzGKj;;;0;1,56831E+18
09/09/2022 20:31;Gio Nakpil;2628816832;rafagrassetti;47401172;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@rafagrassetti What brush does Multiverse Raf use tho?;;;0;1,56831E+18
09/09/2022 20:23;????Travis Taylor????;1,33995E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @_yogik: Hey @rafagrassetti @Vince_Van_Dough seize the memes of reproduction! @AiPepeMetaClub https://t.co/AlwPtCg7v1;;;2;1,5683E+18
09/09/2022 20:21;ItsYusei99 #GodOfWarRagnarok;8,70858E+17;GodofWar_ES;3305911588;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@GodofWar_ES @SonySantaMonica @rafagrassetti @brunovelazquez @PlayStationES @AzcarragaDe @RaymonDeArana @AIProspekt @BlueOwlzMedic @IridiumGameDev Exactamente 2 meses, let's go;;;0;1,5683E+18
09/09/2022 20:12;Jean-Philippe Vidal;1,49054E+18;hulkbuster_07;1,50996E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@hulkbuster_07 @SonySantaMonica @rafagrassetti @Art_of_Oakley He'll be a lot stronger than you imagine;;;0;1,5683E+18
09/09/2022 20:11;Jean-Philippe Vidal;1,49054E+18;SonySantaMonica;382823424;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@SonySantaMonica @rafagrassetti @Art_of_Oakley So Thor is so strong, he shatters the ground with a single hit? ?;;;0;1,5683E+18
09/09/2022 20:10;JJxshy;1,40058E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rafagrassetti: LOTR just keeps getting better, it’s crazy to think about how much went into making this, such a high quality production…;;;26;1,5683E+18
09/09/2022 19:59;alberlu?? ™ ? ??;4237358354;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @SonySantaMonica: @rafagrassetti @Art_of_Oakley Is that a new whiteboard drawing we see? ?;;;14;1,5683E+18
09/09/2022 19:48;AiPepeMetaClub;1,56778E+18;;-1;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @dlrowehtfoweiv: @_yogik @EmmanuelALucen2 @rafagrassetti @Vince_Van_Dough @AiPepeMetaClub LFG 
#Aipepemetaclub https://t.co/TOCiLTRZDN";;;3;1,5683E+18
09/09/2022 19:47;yogiK - cheesesandwich.eth;23814026;dlrowehtfoweiv;2329556118;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@dlrowehtfoweiv @EmmanuelALucen2 @rafagrassetti @Vince_Van_Dough @AiPepeMetaClub Oh hey pretty eyes, what a babe ?;;;0;1,5683E+18
09/09/2022 19:46;Manny A Lucena-Lopez;1,46762E+18;;-1;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @dlrowehtfoweiv: @_yogik @EmmanuelALucen2 @rafagrassetti @Vince_Van_Dough @AiPepeMetaClub LFG 
#Aipepemetaclub https://t.co/TOCiLTRZDN";;;3;1,56829E+18
09/09/2022 19:45;???? qryptic -{????}- juliusperving.eth;2329556118;_yogik;23814026;und;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"@_yogik @EmmanuelALucen2 @rafagrassetti @Vince_Van_Dough @AiPepeMetaClub LFG 
#Aipepemetaclub https://t.co/TOCiLTRZDN";;;3;1,56829E+18
09/09/2022 19:37;Manny A Lucena-Lopez;1,46762E+18;_yogik;23814026;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@_yogik @rafagrassetti @Vince_Van_Dough @AiPepeMetaClub ?????;;;0;1,56829E+18
09/09/2022 19:37;Manny A Lucena-Lopez;1,46762E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @_yogik: Hey @rafagrassetti @Vince_Van_Dough seize the memes of reproduction! @AiPepeMetaClub https://t.co/AlwPtCg7v1;;;2;1,56829E+18
09/09/2022 19:36;yogiK - cheesesandwich.eth;23814026;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;Hey @rafagrassetti @Vince_Van_Dough seize the memes of reproduction! @AiPepeMetaClub https://t.co/AlwPtCg7v1;;;2;1,56829E+18
09/09/2022 19:30;brandon;1,56108E+18;_rudeboy808_;1,17586E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@_rudeboy808_ @SonySantaMonica @rafagrassetti @brunovelazquez Realy nice pichures and its 4k wow nice art work;;;0;1,56829E+18
09/09/2022 19:30;Jafet Zepeda - 11.09.22;7,49761E+17;;-1;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @rafagrassetti: at @SonySantaMonica ? ? #GodOfWarRagnarok https://t.co/G2gHlQzv6t;;;246;1,56829E+18
09/09/2022 19:18;Payaso Esponja Horror Horripilante Abuelita Miedo;8,55749E+17;;-1;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rafagrassetti: at @SonySantaMonica ? ? #GodOfWarRagnarok https://t.co/G2gHlQzv6t;;;246;1,56829E+18
09/09/2022 19:17;Anirudh;2931000529;;-1;und;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @rafagrassetti: at @SonySantaMonica ? ? #GodOfWarRagnarok https://t.co/G2gHlQzv6t;;;246;1,56829E+18
09/09/2022 19:02;shaquille cox;363771517;;-1;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rafagrassetti: at @SonySantaMonica ? ? #GodOfWarRagnarok https://t.co/G2gHlQzv6t;;;246;1,56828E+18
