Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
10/09/2022 1:53;Maths Town;9,07361E+17;;-1;und;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;By @rich__poole https://t.co/4ue4sjqhrA;;;0;1,56839E+18
10/09/2022 1:52;wenjimi;2255460584;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @Kyloren_NFT: motus by @rich__poole https://t.co/55OE3FdfpM;;;4;1,56839E+18
10/09/2022 1:44;0xBrain;1,32117E+18;miitface;1,45493E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@miitface @CortesiVerso @rich__poole Rich never fails to impress. Toha Kakano holder. ?;;;0;1,56838E+18
10/09/2022 1:28;francyska;1,4089E+18;miitface;1,45493E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@miitface @CortesiVerso @rich__poole Yeah, the blue colour comes in like blue smoke! Fascinating to watch everything take shape.;;;0;1,56838E+18
10/09/2022 1:20;francyska;1,4089E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"RT @miitface: First time minting on @CortesiVerso and quite happy ?

The blue in this is captivating.

Motus bd3e by @rich__poole https://t…";;;5;1,56838E+18
10/09/2022 0:56;Valpor.tez | .eth;2694463769;;-1;en;<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>;"RT @miitface: First time minting on @CortesiVerso and quite happy ?

The blue in this is captivating.

Motus bd3e by @rich__poole https://t…";;;5;1,56837E+18
10/09/2022 0:37;C-VERSO;1,45949E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @miitface: First time minting on @CortesiVerso and quite happy ?

The blue in this is captivating.

Motus bd3e by @rich__poole https://t…";;;5;1,56837E+18
10/09/2022 0:35;Danielle King;1,48528E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @miitface: First time minting on @CortesiVerso and quite happy ?

The blue in this is captivating.

Motus bd3e by @rich__poole https://t…";;;5;1,56837E+18
10/09/2022 0:34;mitchell;1,45493E+18;miitface;1,45493E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@CortesiVerso @rich__poole The same piece in a square aspect ratio https://t.co/E9IygqOUpL;;;0;1,56837E+18
10/09/2022 0:32;mitchell;1,45493E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"First time minting on @CortesiVerso and quite happy ?

The blue in this is captivating.

Motus bd3e by @rich__poole https://t.co/zCHi4F15sm";;;5;1,56837E+18
09/09/2022 23:36;?Asp0rts.eth;1,33886E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"Loved my first minting experience on @CortesiVerso minting 'Motus' by @rich__poole. An absolutely stunning collection! 

Here are a couple of my mints- 
 #tezart #generativeart https://t.co/wIDrkUubxS";;;1;1,56835E+18
09/09/2022 23:19;francyska;1,4089E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"RT @CortesiVerso: Some beautiful Motus by @rich__poole minted live at The Armory Show ?
The outcomes are so versatile and the animation pro…";;;11;1,56835E+18
09/09/2022 23:15;GiorgioBalbi.Eth;1,40279E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"RT @CortesiVerso: Ready to min a fantastic B/W Motus!
Share your outcomes before the mint open :)

@rich__poole https://t.co/iaCO7J84QR";;;1;1,56835E+18
09/09/2022 22:59;DarioLanza;1,48559E+18;rich__poole;2514529484;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@rich__poole Looks amazing!! Good luck!;;;0;1,56834E+18
09/09/2022 22:50;m1racl.eth.tez;1,46091E+18;rickacrane;50313804;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@rickacrane @rich__poole @fx_hash_ i am very happy you liked it! love your art and have so many pieces i wanted to share them!! Maybe someone else can see it and fall in love too.;;;0;1,56834E+18
09/09/2022 22:48;m1racl.eth.tez;1,46091E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @rickacrane: @m1racl_eth @rich__poole @fx_hash_ Thank you soooo so much for this detailed shoutout. Im very grateful that you took the t…;;;1;1,56834E+18
09/09/2022 22:48;ThePaperCrane ??;50313804;m1racl_eth;1,46091E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@m1racl_eth @rich__poole @fx_hash_ Thank you soooo so much for this detailed shoutout. Im very grateful that you took the time to create and share this ????????;;;1;1,56834E+18
09/09/2022 22:46;fightmilk.degenaf.eth;1,47778E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"RT @CortesiVerso: Some beautiful Motus by @rich__poole minted live at The Armory Show ?
The outcomes are so versatile and the animation pro…";;;11;1,56834E+18
09/09/2022 22:45;inisjj;360876302;m1racl_eth;1,46091E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@m1racl_eth @sudoWright @rickacrane @tezos @rich__poole Awesome thread. Great insight into the pieces. Cheers;;;0;1,56834E+18
09/09/2022 22:44;inisjj;360876302;m1racl_eth;1,46091E+18;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@m1racl_eth @sudoWright @rickacrane @tezos @rich__poole And https://t.co/oxovsVm5rh;;;0;1,56834E+18
09/09/2022 22:39;ThePaperCrane ??;50313804;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @m1racl_eth: on the second day on my journey highlighting artist i own multiple pieces of, i wanted to highlight @rickacrane who's line…;;;2;1,56834E+18
09/09/2022 22:37;Choch;411640447;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;???????Motus by @rich__poole ,in  @CortesiVerso https://t.co/Y4QsAgoN6C;;;0;1,56834E+18
09/09/2022 22:31;Fiskers;1,43355E+18;shawnkemp;16570965;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@shawnkemp @rich__poole @CortesiVerso Very nice, I spent too long playing with the outputs so it was sold out by the time I went to mint ?;;;0;1,56834E+18
09/09/2022 22:06;m1racl.eth.tez;1,46091E+18;sudoWright;614837459;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"@sudoWright @rickacrane @tezos @rich__poole ?

i completely forgot about foundations!!! i sadly do not have one but you are right! i can't for to see more of their work on ETH!!!";;;0;1,56833E+18
09/09/2022 22:04;James Wright ??;614837459;m1racl_eth;1,46091E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"@m1racl_eth @rickacrane @tezos @rich__poole @rickacrane has pieces on Ethereum too. ???

?https://t.co/Dko4MJe5Zj https://t.co/QUjAbr9Zpj";;;0;1,56833E+18
09/09/2022 21:52;m1racl.eth.tez;1,46091E+18;m1racl_eth;1,46091E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"@rickacrane is only on @tezos ... for now

doing cool things for holders, making great art, and being and art collector and degen as well ?

i am so excited to be a holder and looking forward to the future.

alpha - i think new fxhash drop otw soon?! anot";;;0;1,56833E+18
09/09/2022 21:52;m1racl.eth.tez;1,46091E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"on the second day on my journey highlighting artist i own multiple pieces of, i wanted to highlight @rickacrane who's line art, in my humble opinion is second to none. 
 
'Miniscapes 215' a collaboration with @rich__poole  was a generative drop on @fx_hash_ 

a canyon at night
1/ https://t.co/aiSeR1WpRb";;;2;1,56833E+18
09/09/2022 21:24;Wingism;131958851;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"18/100 Motus 8751 by @rich__poole 
First time minting from @CortesiVerso, fun and great experience, the work is amazing.
#genart #collectone https://t.co/QoXX9VPVdb";;;0;1,56832E+18
09/09/2022 21:04;Rossa774.tez;1,20188E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @CortesiVerso: Ready at The Armory Show ?
You can find us at Booth 407.

Many thanks to @rich__poole, @emilyxxie, @bendotk and @zancan f…";;;32;1,56831E+18
09/09/2022 21:01;Shima ????;1,55941E+18;;-1;lt;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @trasherer: Motus @rich__poole https://t.co/IP0pWdBGoX;;;1;1,56831E+18
09/09/2022 20:59;Shima ????;1,55941E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @Rrose_Selavy_11: Minted this GORGEOUS @rich__poole via @CortesiVerso just now ?

'MOTUS 194' https://t.co/01SUwDZShg";;;5;1,56831E+18
09/09/2022 20:57;Ferdi;1,48483E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;Motus 1a9c by @rich__poole https://t.co/STeD7phGDY;;;0;1,56831E+18
09/09/2022 20:46;Bradley;9214242;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;Love the monochrome! My mints of Motus by @rich__poole today ? Amazing work as always https://t.co/YFZl9MgL4g https://t.co/BB0e8ahwq9;;;0;1,56831E+18
09/09/2022 20:38;MAT_Taher;1,55171E+18;lilsaturn_eth;1,44582E+18;und;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@lilsaturn_eth @rich__poole ???;;;0;1,56831E+18
09/09/2022 19:58;Akorede Mayowa;7,78824E+17;Artoria_Artoria;1,4321E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@Artoria_Artoria @rich__poole This is pleasant;;;0;1,5683E+18
09/09/2022 19:56;R_Contessa;1,43403E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @Artoria_Artoria: Feel like I won the internet today, congratulations @rich__poole https://t.co/kiLs2wkf2l;;;2;1,5683E+18
09/09/2022 19:51;Ferdi;1,48483E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @CortesiVerso: Some beautiful Motus by @rich__poole minted live at The Armory Show ?
The outcomes are so versatile and the animation pro…";;;11;1,5683E+18
09/09/2022 19:48;Hannah Gonzalez;1,51047E+18;Kyloren_NFT;1,29242E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@Kyloren_NFT @rich__poole @CortesiVerso i expect all gmdao collections to get an insane run after tomorrow drop;;;0;1,5683E+18
09/09/2022 19:48;Nevzat Y?ld?r?m;231582165;rich__poole;2514529484;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@rich__poole @CortesiVerso Stunning ?;;;0;1,5683E+18
09/09/2022 19:48;Nevzat Y?ld?r?m;231582165;Artoria_Artoria;1,4321E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@Artoria_Artoria @rich__poole It’s a excellent work by @rich__poole ?;;;0;1,5683E+18
09/09/2022 19:47;artoria.eth | jpg.tez;1,4321E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;Feel like I won the internet today, congratulations @rich__poole https://t.co/kiLs2wkf2l;;;2;1,56829E+18
09/09/2022 19:26;timbetting ? (?,?);1,2609E+18;EthAsp0rts;1,33886E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"@EthAsp0rts @rich__poole That's also probably my favourite, I'm an absolute fan of the palette. 

Can't wait to see what you got. Feel blessed rn ?";;;0;1,56829E+18
09/09/2022 19:20;?Asp0rts.eth;1,33886E+18;Tim_eth;1,2609E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"@Tim_eth @rich__poole Ooh, great choices. ?? That one on the bottom right is my favorite of yours! 

Was able to get a few and it was such a luxury to mint with leisure for a Rich drop! Will post mine shortly!";;;0;1,56829E+18
09/09/2022 19:14;timbetting ? (?,?);1,2609E+18;Tim_eth;1,2609E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@rich__poole Hope you got yours @EthAsp0rts https://t.co/rYPslUV2bS;;;0;1,56829E+18
09/09/2022 19:12;timbetting ? (?,?);1,2609E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"Proud owner of these beautiful Motus as my first Tezos NFTs. Generative art is truly fascinating.

Can't wait to frame one of them in my office soon!

Congrats @rich__poole for this amazing collection and the minting experience, loved it. https://t.co/6kTE95V4j5";;;0;1,56829E+18
09/09/2022 19:11;abstractment;1,42199E+18;Zenfr;51369714;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@Zenfr @CortesiVerso @rich__poole I just hit the page refresh button after I knew the transaction had enough time to process. ?;;;0;1,56829E+18
09/09/2022 19:09;Toebz;77166697;;-1;et;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;amusement palette! Motus by @rich__poole https://t.co/8KwRKjxsWn;;;0;1,56829E+18
09/09/2022 19:09;TT;452332251;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @Rrose_Selavy_11: Minted this GORGEOUS @rich__poole via @CortesiVerso just now ?

'MOTUS 194' https://t.co/01SUwDZShg";;;5;1,56829E+18
09/09/2022 19:02;Cb;51369714;RiverRyan;53994582;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@RiverRyan @abstractment @CortesiVerso @rich__poole hmmm... seems too easy!;;;0;1,56828E+18
09/09/2022 18:57;asymrisk ?? L2'22 ?;1,40494E+18;rich__poole;2514529484;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@rich__poole strikes again!  Motus 7169  ? https://t.co/QxQ68PoaM7;;;1;1,56828E+18
09/09/2022 18:53;RiverRyan.eth;53994582;Zenfr;51369714;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@Zenfr @abstractment @CortesiVerso @rich__poole I minted pretty slowly and just waited for my desired one to load fully. Then the mint button became live;;;0;1,56828E+18
09/09/2022 18:53;nicazo;1135095704;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"Wow I just minted motus on @CortesiVerso, such beautiful generative artworks ? by @rich__poole 
What a great work, I'm in love ! https://t.co/JeamT7K3pL";;;0;1,56828E+18
09/09/2022 18:52;RiverRyan.eth;53994582;abstractment;1,42199E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@abstractment @CortesiVerso @rich__poole So good right?!!;;;0;1,56828E+18
09/09/2022 18:52;C-VERSO;1,45949E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @abstractment: my first time minting on @CortesiVerso and i felt like an 8 year old with my own cotton candy machine?. that is straight…;;;2;1,56828E+18
09/09/2022 18:51;tezzarts.tez;1,43744E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"RT @lilsaturn_eth: These are all amazing! Congrats @rich__poole 

If I had the liquidity to buy on secondary right now, I would scoop these…";;;1;1,56828E+18
09/09/2022 18:51;Cb;51369714;abstractment;1,42199E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@abstractment @CortesiVerso @rich__poole Wow. You need to tell me how you were able to mint so many. I was waiting for the mint button to refresh several minutes. And it finally appears few minutes before sold out;;;0;1,56828E+18
09/09/2022 18:48;1000K.eth;304944024;;-1;lt;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;Motus @rich__poole https://t.co/IP0pWdBGoX;;;1;1,56828E+18
09/09/2022 18:48;lil saturn / gm.??-? / lilnouns.substack.com;1,44582E+18;CortesiVerso;1,45949E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"@CortesiVerso @rich__poole Here's what I would do if I was buying on secondary (someone should scoop these :)) 

Congrats Rich!

https://t.co/1i7oEb5DB1";;;0;1,56828E+18
09/09/2022 18:48;RiverRyan.eth;53994582;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"Stoked I managed to mint this beautiful triptych of Motus by @rich__poole 
Love the fact you get to play around on @CortesiVerso  until you get something that you love! https://t.co/CA9fnrNEyP";;;0;1,56828E+18
09/09/2022 18:47;lil saturn / gm.??-? / lilnouns.substack.com;1,44582E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"These are all amazing! Congrats @rich__poole 

If I had the liquidity to buy on secondary right now, I would scoop these 3 from the 3 different 'Styles', but the same 'Palette' ('Adoration') as a triptych ? https://t.co/YDgnWOUwub https://t.co/HSy8juBVHF";;;1;1,56828E+18
09/09/2022 18:44;arltcollector;1,35282E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;RT @Kyloren_NFT: motus by @rich__poole https://t.co/55OE3FdfpM;;;4;1,56828E+18
09/09/2022 18:44;arltcollector;1,35282E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @CortesiVerso: Some beautiful Motus by @rich__poole minted live at The Armory Show ?
The outcomes are so versatile and the animation pro…";;;11;1,56828E+18
09/09/2022 18:35;012.tez aka obi;3355033983;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"New @rich__poole drop through @CortesiVerso is straight fire ? 
It already minted out (250 ed), secondary market here: https://t.co/sueVFnF6nG";;;0;1,56828E+18
