Id,Name,Position_03-09-2022,Position_10-09-2022,Average_Position,Ordered_Position,URL_NFT_OpenSea,URL_NFT_Image_Example,URL_Website,URL_Twitter,URL_Instagram,URL_Discord,NFT_Type_Project,Blockchain,Volume_7d_03-09-2022,Total_Volume_03-09-2022,%Change_03-09-2022,Floor_Price_03-09-2022,Sales_03-09-2022,%Unique_Owners_03-09-2022,Unique_Owners_03-09-2022,%Items_Listed_03-09-2022,Items_Listed_03-09-2022,Total_Items_03-09-2022,Volume_7d_10-09-2022,Total_Volume_10-09-2022,%Change_10-09-2022,Floor_Price_10-09-2022,Sales_10-09-2022,%Unique_Owners_10-09-2022,Unique_Owners_10-09-2022,%Items_Listed_10-09-2022,Items_Listed_10-09-2022,Total_Items_10-09-2022,Tw_Followers_03-09-2022,Tweets_03-09-2022,Tw_Comments_03-09-2022,Rts_03-09-2022,Tw_Likes_03-09-2022,Tw_Engagement_Rate_03-09-2022,Tw_Followers_10-09-2022,Tweets_10-09-2022,Tw_Comments_10-09-2022,Rts_10-09-2022,Tw_Likes_10-09-2022,Tw_Engagement_Rate_10-09-2022,Insta_Followers_03-09-2022,Insta_Likes_03-09-2022,Insta_Comments_03-09-2022,Insta_Posts_03-09-2022,Insta_Engagement_Rate_03-09-2022,Insta_Followers_10-09-2022,Insta_Likes_10-09-2022,Insta_Comments_10-09-2022,Insta_Posts_10-09-2022,Insta_Engagement_Rate_10-09-2022,1_Discord_Online_Users_03-09-2022,2_Discord_Online_Users_03-09-2022,3_Discord_Online_Users_03-09-2022,Discord_Average_Online_Users_03-09-2022,Discord_Total_Users_03-09-2022,Discord_Engagement_Rate_03-09-2022,1_Discord_Online_Users_10-09-2022,2_Discord_Online_Users_10-09-2022,3_Discord_Online_Users_10-09-2022,Discord_Average_Online_Users_10-09-2022,Discord_Total_Users_10-09-2022,Discord_Engagement_Rate_10-09-2022,Twitter_Average_Eng_Rate,Instagram_Average_Eng_Rate,Discord_Average_Eng_Rate,Usability_Website,Navigation_Website,Interactivity_Website,Organization_Website,Relevant_Information_Website,Security_Appearance_Website,Design_Website,Own_Domain_Website,Effective_Domain_Website,Average_Website_Qualification,CGM_Tw_Mentions,Twitter_Y/N,Instagram_Y/N,Discord_Y/N,Website_Y/N
1,Bored Ape Yacth Club (BAYC),1,1,1,1,https://opensea.io/collection/boredapeyachtclub,https://img.seadn.io/files/6417fef23ba02e839f5b157d96d441b2.png?auto=format&fit=max&w=384,https://boredapeyachtclub.com/#/,https://twitter.com/BoredApeYC,https://www.instagram.com/boredapeyachtclub/,https://discord.com/invite/3P5K3dzgdB,Unique_Collection,Ethereum,2464,658800,-50,"77,77",19,65,6458,7,732,10000,1845,660500,-13,72,23,65,6467,7,729,10000,1015334,8,1052,2900,11815,"0,03",1015747,0,0,0,0,"0,00",676000,0,0,0,"0,00",674264,0,0,0,"0,00",16113,19433,18498,"18014,66667",169863,"1,52",15106,18692,18073,"17290,33333",173195,"1,43","0,01","0,00","1,47",10,10,10,10,10,10,10,10,10,10,16475,YES,YES,YES,YES
2,CryptoPunks,7,2,"4,5",2,https://opensea.io/collection/cryptopunks,https://lh3.googleusercontent.com/jpxkgLBGB03NIVUPRbSzVaGrNrVnLqs6KchslCXYCuaHa9EW5QYWC3SJuxMxe7sRo14l2uPX0YJwR2dXRT4tl8o=w345,https://www.larvalabs.com/cryptopunks,https://twitter.com/cryptopunksnfts,NA,https://discord.com/invite/tQp4pSE,Unique_Collection,Ethereum,651,988600,-41,NA,14,36,3577,0,0,9999,1452,990100,227,NA,33,36,3577,0,0,9999,249955,0,0,0,0,"0,00",250897,3,50,67,443,"0,01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5071,6042,5952,"5688,333333",69172,"1,17",4786,5781,5796,"5454,333333",69382,"1,12","0,01",NA,"1,15",10,10,10,10,10,10,9,10,10,"9,9",958,YES,NO,YES,YES
3,Okay Bears,9,7,8,3,https://opensea.io/collection/okay-bears,https://lh3.googleusercontent.com/5Qhpw4JmAN91Jaz6vyKYJGYweuih_E8yF5WZrwEusVCfsxgaA8uCgMpEx06fO_X3zNuA9MOfwQ9X4mckFNDlB_HkGK3bHNpVwvhn4Ik=w345,https://www.okaybears.com/,https://twitter.com/okaybears,https://www.instagram.com/okaybearsnft/,https://discord.com/invite/bearwithus,Unique_Collection,Solana,19000,2000000,69,70,276,50,5043,"0,66",66,9999,22000,2100000,14,80,281,50,4976,"0,36",36,9999,138090,2,20,67,324,"0,02",136649,7,245,624,2549,"0,05",8030,0,0,0,"0,00",8007,1058,48,2,"0,99",5548,6609,6172,"6109,666667",95324,"0,92",4781,6498,5401,5560,94963,"0,84","0,04","0,49","0,88",10,10,10,10,10,10,10,10,10,10,16613,YES,YES,YES,YES
4,The Memes by 6529,31,51,41,4,https://opensea.io/collection/thememes6529,https://lh3.googleusercontent.com/SiImik4fIS-xhmslBJH5oFtuewu6KHo3vA30zre1ZileFgs3hws4rNB8OFzhCLeGydCF0huQy6HnYJ1niMWg0O1FfBXGIo5Rof2YOQ=w345,https://6529.io/collections/the-memes/,https://twitter.com/6529er,NA,NA,Brand_Artist,Ethereum,76,653,183,"0,06",423,14,2083,NA,NA,14,32,686,-57,"0,05",239,16,2368,NA,NA,15,10934,41,1362,111,2674,"0,13",11076,28,1261,134,2399,"0,17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,15",NA,NA,10,10,10,10,10,10,9,10,10,"9,9",1842,YES,NO,NO,YES
5,rektguy,52,81,"66,5",5,https://opensea.io/collection/rektguy,https://lh3.googleusercontent.com/-kjwF3IWk8wkRX7-5_tYBmpd4qmWiMbjL0LnZJptpc7067Bj8TbOLnzlqJUyAkcEi4hwORBcymqXPSEOv-QAJeR1lBNmYO5gcErx7A=w345,https://www.osf.art/rektguy,https://twitter.com/osf_nft,https://www.instagram.com/osf_nft/,https://discord.com/invite/degenzNFT,Unique_Collection,Ethereum,37,6600,-13,"0,21",120,49,4349,6,534,8814,17,6600,-54,"0,2",78,49,4352,5,476,8814,192512,44,1216,416,4558,"0,01",191445,55,1418,664,7697,"0,01",1012,0,0,0,"0,00",1065,245,20,3,"1,18",1320,1530,1451,"1433,666667",9288,"2,21",1209,1502,1401,"1370,666667",9212,"2,13","0,01","0,59","2,17",10,10,10,10,10,10,10,10,10,10,4274,YES,YES,YES,YES
6,ASTRALS,92,87,"89,5",6,https://opensea.io/collection/astrals-solana,https://lh3.googleusercontent.com/kmrGXuJ9mDGaevpH-3OCYXElucNYsCjNE9bOmGfykAIT695JxKdv6SazAK4r6oPdPvJtXELGDn3blDguAradLx3UjF78lidc_Csz=w345,https://astralsnft.io/,https://twitter.com/Astrals_NFT,https://www.instagram.com/astrals_nft/,https://discord.com/invite/astralsnft,Unique_Collection,Solana,841,154800,135,"9,45",140,29,2938,"0,05",5,10000,732,157500,-12,"9,45",103,29,2906,"0,06",6,10000,34097,54,681,1058,2792,"0,04",33890,21,258,399,1054,"0,03",2909,0,0,0,"0,00",2891,0,0,0,"0,00",1321,1525,1475,"1440,333333",15317,"1,34",1134,1444,1411,"1329,666667",15055,"1,26","0,03","0,00","1,30",10,10,10,10,10,10,10,10,10,10,2695,YES,YES,YES,YES
7,Grassetti's Meme Kingdom,102,103,"102,5",7,https://opensea.io/collection/grassetticollection,https://img.seadn.io/files/d876c86a26013a92c3feab2654b59484.jpg?auto=format&fit=max&w=384,https://www.rgrassetti.com/,https://twitter.com/rafagrassetti,https://www.instagram.com/rafagrassetti/,https://discord.com/invite/7YyZtwcW4q,Brand_Artist,Ethereum,15,1000,3745,"0,23",64,26,472,NA,NA,18,13,1000,-2,"0,2",45,26,475,NA,NA,18,186867,11,350,2014,23007,"0,18",186969,5,132,606,10099,"0,17",725000,0,0,0,"0,00",725023,0,0,0,"0,00",1187,1600,1616,"1467,666667",8228,"2,55",1040,1526,1623,"1396,333333",8219,"2,43","0,17","0,00","2,49",10,10,10,10,10,10,10,10,10,10,1247,YES,YES,YES,YES
8,Crypto Coven,175,176,"175,5",8,https://opensea.io/collection/cryptocoven,https://lh3.googleusercontent.com/A92NkzNr1pKdBwttdqBNpXPYxXUtXGyWPpwkEELOLh3XOzJDfYzgS4z4iiVkwqHgqHYu8rJmCFJ-BFBFuiMhUG6cg7G-zLL2xEed=w345,https://www.cryptocoven.xyz/,https://twitter.com/crypto_coven,https://www.instagram.com/crypto_coven/,https://discord.com/invite/cryptocoven,Unique_Collection,Ethereum,7,8800,18,"0,23",22,51,4991,3,274,9768,6,8800,-11,"0,2",22,51,4991,3,280,9768,26387,2,0,5,18,"0,01",26292,4,6,21,127,"0,02",2898,0,0,0,"0,00",2875,44,0,6,"0,04",757,864,836,819,7015,"1,67",711,833,853,799,7007,"1,63","0,01","0,02","1,65",10,10,10,10,10,10,10,10,10,10,195,YES,YES,YES,YES
9,Koripo by Rich Poole,213,151,182,9,https://opensea.io/collection/koripo-by-rich-poole,https://lh3.googleusercontent.com/aR-8nhMtYDJmbJsM1e81VYmkycMOoNBvyzDDLo_QjvfjLIgDBwt_Oo4XECAMAhayeKU3JWk180e6VbrJ56bagbY6_4TFkDLmEuXmJ24=w345,https://www.richpoole.art/,https://twitter.com/rich__poole,NA,NA,Gallery_Artist,Ethereum,5,436,133,"0,26",20,56,559,11,105,999,8,444,53,"0,27",24,56,558,10,96,999,20914,3,55,37,554,"0,15",5559,11,28,48,414,"0,11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,13",NA,NA,10,9,10,8,8,9,7,10,10,9,389,YES,NO,NO,YES
10,Cosmic Reef by Leo Villareal,283,143,213,10,https://opensea.io/collection/cosmic-reef-by-leo-villareal,https://lh3.googleusercontent.com/qcTN5bsQGiAa14h_c5TSgxfLURvWeOMrJW-UdPl4mTS45sJff7S-5x3anGzhfzWRws4Tmbc-ynweD7paQd9-H96_RUsC2eFQ3VPpGQ=w345,http://villareal.net/,NA,https://www.instagram.com/leo_villareal_studio/,NA,Gallery_Artist,Ethereum,3,991,-54,"1,38",2,34,344,3,26,1024,9,997,494,"1,18",5,34,345,4,36,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5437,0,0,0,"0,00",5440,0,0,0,"0,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00",NA,10,10,10,10,10,10,10,10,10,10,NA,NO,YES,NO,YES
